S1_ZINDO,S1_TDDFT,S1_ML
3.6643,4.4845,4.42329592942823
3.453,3.9008,3.95740603724472
3.5537,4.756,4.82375545502291
3.397,3.9494,3.98878523570186
3.8308,4.2015,4.45882995242159
3.8647,4.1503,4.58961759600934
3.741,4.2671,4.22894742558352
2.5008,3.406,3.43306570665254
3.8671,3.9921,4.25044947545539
3.3018,4.071,4.03605432304714
2.385,3.0927,3.042217398648
2.902,3.5594,3.58435587132109
3.1482,4.1918,4.33532709356466
2.5852,3.114,3.19472827201633
2.9454,3.5233,3.48020151484919
2.1102,2.8133,3.22926166768509
2.7465,3.102,3.28638312951445
3.4992,4.663,4.46164881662114
2.4735,3.282,3.31885695336832
2.4971,3.3979,3.38269553879561
3.6754,4.2283,4.35415584264199
2.4998,4.3467,3.88031754028663
2.7582,3.375,3.4607578232483
3.4877,4.5243,4.29971692390881
2.4877,3.3508,3.30999986611734
3.2018,3.851,3.9168158506794
3.7197,4.404,4.47008211891777
2.3863,3.2803,3.3001590268518
3.4734,4.3459,4.57034329920734
3.4961,4.3464,4.36354711108354
3.4055,4.4075,4.35388459406899
2.4781,3.3256,3.32580885475265
2.6982,3.4225,3.21121855803725
2.6117,3.303,3.24968115041993
2.501,3.3966,3.40964092881319
2.501,3.3966,3.36379658126599
3.7419,4.686,4.53127495048541
2.7014,3.4677,3.43043913964228
2.7477,3.4465,3.55458046136993
3.2249,4.6723,4.12253918758646
3.053,3.3217,3.52215381097705
3.493,4.2736,4.347109347857
3.5104,4.5757,4.46251256541891
3.4571,4.2524,4.04594779086928
3.2936,3.7288,3.83641968267059
3.0479,3.3966,3.20197961443916
3.4654,4.3771,4.4216568063974
3.1158,3.809,3.8317371979528
3.5077,4.3576,4.32194362072372
3.1964,4.2682,4.07837279391471
2.7616,3.2259,3.19525684382844
2.7793,3.2663,3.03745156902181
3.155,3.6062,3.96441589139815
3.9791,4.8129,4.95349075663534
4.3255,4.5565,4.89910954524411
3.4417,4.2659,4.09784431719626
2.5054,3.3295,3.31116905367141
3.3019,3.9476,3.98984421546768
3.1179,4.3386,4.13886230669447
3.1965,4.2021,4.01937349700317
2.9402,3.6798,3.66517813863562
2.5002,3.399,3.46206643814642
3.5356,4.3374,4.60600020111958
2.5005,3.3424,3.42313049009437
2.5077,3.4096,3.30094389143833
3.474,4.0725,4.05618568300316
3.2487,3.4031,3.55779284367146
2.8967,3.4661,3.47734585721412
3.0877,3.8871,3.61502769819988
3.5523,4.6637,4.72366590607399
2.4959,3.393,3.37582392757815
2.497,3.393,3.35570365743765
2.4961,3.393,3.39303986916138
3.2687,4.1981,4.09224765452104
3.7605,4.2386,4.41168955885095
3.6724,4.8737,4.84228561123901
3.4803,3.7655,3.83658157469331
2.4777,3.3455,3.3346322165059
3.3891,4.1547,4.21195659868371
2.5026,3.388,3.41149774685448
4.0408,4.998,4.53159204790031
2.546,3.353,3.39334295029522
2.3743,2.3162,2.5126895687873
2.9359,3.6706,3.78285891138
3.3966,4.5151,4.34992965910864
3.6613,4.9796,4.89648263743533
2.6175,3.1435,3.48515478213885
2.4957,3.7412,3.43245914976694
2.6336,3.1662,3.17875042843628
2.6212,3.1191,3.25191028101412
2.765,3.1861,3.27017312319568
2.5122,3.379,3.41569086345823
3.2426,4.2738,3.95352494636431
2.5086,3.3809,3.37518379686684
3.6765,4.5988,4.36272970276166
